1.881e+05,36.4,0.001
1.881e+05,53.2,0.001
1.881e+05,51.5,0.001
1.881e+05,51.6,0.001
1.8810e+05,43.5,0.001
1.8811e+05,60.5,0.001
1.8811e+05,76.9,0.001
1.8811e+05,58.4,0
1.8811e+05,53.2,0
1.8811e+05,64.4,0
1.8811e+05,54.8,0
1.8811e+05,47.3,0
1.882e+05,45,0
1.882e+05,69.5,0
1.882e+05,66.8,0
1.882e+05,95.8,0
1.8820e+05,64.1,0
1.8821e+05,45.2,0
1.8821e+05,45.4,0
1.8821e+05,40.4,0
1.8821e+05,57.7,0
1.8821e+05,59.2,0
1.8821e+05,84.4,0
1.8821e+05,41.8,0
1.883e+05,60.6,0.029
1.883e+05,46.9,0.033
1.883e+05,42.8,0.03
1.883e+05,82.1,0.028
1.8830e+05,31.5,0.025
1.8831e+05,76.3,0.023
1.8831e+05,80.6,0.022
1.8831e+05,46,0.02
1.8831e+05,52.6,0.041
1.8831e+05,83.8,0.078
1.8831e+05,84.5,0.106
1.8831e+05,75.9,0.132
1.884e+05,91.5,0.152
1.884e+05,86.9,0.152
1.884e+05,87.5,0.163
1.884e+05,76.1,0.164
1.8840e+05,66.5,0.157
1.8841e+05,51.2,0.152
1.8841e+05,53.1,0.152
1.8841e+05,55.8,0.139
1.8841e+05,61.9,0.135
1.8841e+05,47.8,0.125
1.8841e+05,36.6,0.115
1.8841e+05,47.2,0.108
1.885e+05,42.8,0.101
1.885e+05,71.8,0.087
1.885e+05,49.8,0.082
1.885e+05,55,0.073
1.8850e+05,73,0.067
1.8851e+05,83.7,0.061
1.8851e+05,66.5,0.058
1.8851e+05,50,0.053
1.8851e+05,39.6,0.049
1.8851e+05,38.7,0.047
1.8851e+05,30.9,0.043
1.8851e+05,21.7,0.041
1.886e+05,29.9,0.038
1.886e+05,25.9,0.034
1.886e+05,57.3,0.031
1.886e+05,43.7,0.029
1.8860e+05,30.7,0.026
1.8861e+05,27.1,0.024
1.8861e+05,30.3,0.022
1.8861e+05,16.9,0.02
1.8861e+05,21.4,0.02
1.8861e+05,8.6,0.069
1.8861e+05,0.3,0.064
1.8861e+05,13,0.058
1.887e+05,10.3,0.054
1.887e+05,13.2,0.05
1.887e+05,4.2,0.046
1.887e+05,6.9,0.042
1.8870e+05,20,0.039
1.8871e+05,15.7,0.036
1.8871e+05,23.4,0.033
1.8871e+05,21.4,0.034
1.8871e+05,7.4,0.032
1.8871e+05,6.6,0.029
1.8871e+05,6.9,0.027
